geom,north,south,east,west,code,name,enabled
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 16.5000000000000990, -18.9999999999999010 17.0000000000000990, -18.4999999999999010 17.0000000000000990, -18.4999999999999010 16.5000000000000990, -18.9999999999999010 16.5000000000000990)))",17.0,16.5,18.5,19.0,16U1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 16.5000000000000990, -18.4999999999999010 17.0000000000000990, -17.9999999999999010 17.0000000000000990, -17.9999999999999010 16.5000000000000990, -18.4999999999999010 16.5000000000000990)))",17.0,16.5,18.0,18.5,16U2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 16.5000000000000990, -17.9999999999999010 17.0000000000000990, -17.4999999999999010 17.0000000000000990, -17.4999999999999010 16.5000000000000990, -17.9999999999999010 16.5000000000000990)))",17.0,16.5,17.5,18.0,16T1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 16.5000000000000990, -17.4999999999999010 17.0000000000000990, -16.9999999999999010 17.0000000000000990, -16.9999999999999010 16.5000000000000990, -17.4999999999999010 16.5000000000000990)))",17.0,16.5,17.0,17.5,16T2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 16.5000000000000990, -16.9999999999999010 17.0000000000000990, -16.4999999999999010 17.0000000000000990, -16.4999999999999010 16.5000000000000990, -16.9999999999999010 16.5000000000000990)))",17.0,16.5,16.5,17.0,16S1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 16.5000000000000990, -16.4999999999999010 17.0000000000000990, -15.9999999999999010 17.0000000000000990, -15.9999999999999010 16.5000000000000990, -16.4999999999999010 16.5000000000000990)))",17.0,16.5,16.0,16.5,16S2,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 17.0000000000000990, -19.9999999999999010 17.5000000000000990, -19.4999999999999010 17.5000000000000990, -19.4999999999999010 17.0000000000000990, -19.9999999999999010 17.0000000000000990)))",17.5,17.0,19.5,20.0,17V4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 17.0000000000000990, -19.4999999999999010 17.5000000000000990, -18.9999999999999010 17.5000000000000990, -18.9999999999999010 17.0000000000000990, -19.4999999999999010 17.0000000000000990)))",17.5,17.0,19.0,19.5,17V3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 17.0000000000000990, -18.9999999999999010 17.5000000000000990, -18.4999999999999010 17.5000000000000990, -18.4999999999999010 17.0000000000000990, -18.9999999999999010 17.0000000000000990)))",17.5,17.0,18.5,19.0,17U4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 17.0000000000000990, -18.4999999999999010 17.5000000000000990, -17.9999999999999010 17.5000000000000990, -17.9999999999999010 17.0000000000000990, -18.4999999999999010 17.0000000000000990)))",17.5,17.0,18.0,18.5,17U3,MRT,Y
